description,priority
"Major water pipe burst on main street, flooding the area.",High
"Exposed electrical wires sparking from the pole near Connaught Place.",High
"A large tree has fallen and is completely blocking the road on MG Road.",High
"Sewage is overflowing from a manhole cover in Lajpat Nagar market.",High
"Emergency fire hydrant is broken and leaking heavily near Saket metro station.",High
"Reports of a strong gas smell near the downtown library.",High
"Traffic lights at the ITO intersection are completely out during peak hours.",High
"A sinkhole has appeared in the middle of a busy street in Dwarka.",High
"Building facade has collapsed onto the sidewalk in Chandni Chowk.",High
"Live power line is down across the road in a residential colony.",High
"Complete power outage in our sector for over 5 hours.",High
"Bridge showing signs of structural failure, large cracks visible.",High
"Major accident involving a public bus, medical assistance required immediately.",High
"Building on fire, emergency services needed now.",High
"Illegal dumping of chemical waste near the Yamuna river.",High
"Manhole cover is missing, creating a dangerous hole in the road.",High
"Multiple street robberies reported in the area after dark, need police patrol.",High
"Gas tanker is leaking on the highway.",High
"The main water supply for the entire block has been contaminated.",High
"A group of people are trapped in a malfunctioning elevator.",High
"Unattended suspicious package left at a crowded bus stop.",High
"Major road has been washed away due to heavy rains.",High
"Hospital has lost power and backup generator failed.",High
"Chemical spill from a factory is entering the storm drain.",High
"Violent protest has broken out in the city center.",High
"Report of a child stuck on a high-voltage transmission tower.",High
"The roof of the public school has collapsed.",High
"Ambulance is stuck in traffic and needs an immediate clear path.",High
"There is a huge pothole on the Outer Ring Road causing severe traffic disruption.",Medium
"Streetlight on my corner in Vasant Kunj has been out for over a week.",Medium
"Drainage is clogged, causing minor waterlogging after rain in our alley.",Medium
"The traffic signal at the local crossing is stuck on red.",Medium
"Broken pavement on the sidewalk in Hauz Khas Village is a tripping hazard.",Medium
"Garbage collection has been missed for three days in a row.",Medium
"Bus stop shelter has been vandalized and the glass is shattered.",Medium
"Water supply is muddy and has a strange smell.",Medium
"Frequent voltage fluctuations are damaging appliances.",Medium
"Road is partially blocked by construction debris left behind.",Medium
"Public park is overgrown and benches are broken.",Medium
"Stray dog menace in the neighborhood, reports of aggressive behavior.",Medium
"Heavy smoke coming from a nearby factory.",Medium
"Broken traffic barrier on the highway is a danger to motorists.",Medium
"Illegal street vendors have blocked the entire footpath.",Medium
"Dead animal on the road needs to be removed.",Medium
"Noise pollution from a construction site is continuing after hours.",Medium
"Unsafe wiring hanging from a utility pole, not sparking but looks dangerous.",Medium
"The public water pump in the colony is not working.",Medium
"Traffic congestion due to a badly managed event.",Medium
"Bus service is consistently late on this route.",Medium
"Water is seeping through the walls of the underpass.",Medium
"Street signs are covered by overgrown tree branches.",Medium
"Public toilet is locked and unusable.",Medium
"Abandoned vehicle has been parked for months, taking up space.",Medium
"Mosquito infestation due to stagnant water in a nearby plot.",Medium
"Erratic and infrequent water supply in the mornings.",Medium
"Roadside drain covers are broken, posing a risk to pedestrians.",Medium
"Telecommunication cables are lying exposed on the pavement.",Medium
"Heavy dust from the metro construction is causing air pollution.",Medium
"The park bench is broken in the local community park.",Low
"Garbage bin is full and needs to be emptied at the bus stop.",Low
"Faded road markings at the zebra crossing need repainting.",Low
"Minor water leakage from a public tap.",Low
"Graffiti on a public wall at the community center.",Low
"Loud music being played late at night from a neighbor.",Low
"Overgrown bushes are blocking the view of traffic at an intersection.",Low
"Street vendor cart is abandoned on the sidewalk.",Low
"Need for a new speed breaker on our residential street.",Low
"Public drinking water fountain is not working.",Low
"Flickering streetlight, not completely out but annoying.",Low
"A car has been parked in a no-parking zone for days.",Low
"Request for periodic pest control in the area.",Low
"Leaves and debris need to be cleaned from the street.",Low
"A pothole is forming, but it is still small.",Low
"The paint on the public library wall is peeling.",Low
"Request for more dustbins in the market area.",Low
"The local park's gate is squeaky and needs oiling.",Low
"Flowers in the public garden have not been watered.",Low
"Street name sign is slightly tilted.",Low
"Minor cracks appearing on the community hall footpath.",Low
"A few tiles on the sidewalk are loose.",Low
"Request to trim a tree that is growing too close to a window.",Low
"The net at the public basketball court is torn.",Low
"Water pressure in the public tap is very low.",Low
"The neighborhood watch sign has faded.",Low
"Request for installation of a mirror at a blind corner.",Low
